Female Employees,Male Employees,Female Employees in percentage,Male Employees in percentage,Sickness absence in days per employee for one year,Median Salary for Men in DKK,Median Salary for Women in DKK
16,2,88.88888888888889,11.11111111111111,4.11,56802,31919
74,48,60.65573770491803,39.34426229508197,5.33,48530,55951
55,48,53.398058252427184,46.601941747572816,5.56,53367,41285
69,3,95.83333333333334,4.166666666666666,9.12,49373,40015
55,28,66.26506024096386,33.734939759036145,8.94,53142,41566
35,19,64.81481481481481,35.18518518518518,4.37,34597,27308
22,34,39.285714285714285,60.71428571428571,7.3,27691,24395
45,1,97.82608695652173,2.1739130434782608,9.76,32054,48198
4,33,10.81081081081081,89.1891891891892,5.31,54388,35415
47,12,79.66101694915254,20.33898305084746,3.38,36154,37203
8,1,88.88888888888889,11.11111111111111,3.1,44526,34669
70,24,74.46808510638297,25.53191489361702,3.65,41609,36261
26,71,26.804123711340207,73.19587628865979,6.73,33422,25585
24,71,25.263157894736842,74.73684210526315,3.56,41906,34735
71,19,78.88888888888889,21.11111111111111,7.77,26972,31040
39,44,46.98795180722892,53.01204819277109,5.92,30588,37157
52,41,55.91397849462365,44.086021505376344,2.73,37473,24617
10,62,13.88888888888889,86.11111111111111,3.21,38622,45152
48,26,64.86486486486487,35.13513513513514,2.99,46444,31735
35,30,53.84615384615385,46.15384615384615,4.2,45335,38869
61,2,96.82539682539682,3.1746031746031744,7.44,53814,31353
23,70,24.731182795698924,75.26881720430107,2.72,34410,20834
46,48,48.93617021276596,51.06382978723404,6.85,55692,38836
73,1,98.64864864864865,1.3513513513513513,8.1,26876,50441
26,43,37.68115942028986,62.31884057971014,6.81,53280,53329
6,73,7.59493670886076,92.40506329113924,6.61,31155,23469
55,55,50.0,50.0,3.23,23450,26738
25,1,96.15384615384616,3.8461538461538463,8.78,35209,30675
16,74,17.77777777777778,82.22222222222221,6.39,42843,33346
29,47,38.15789473684211,61.8421052631579,8.33,28523,34787
3,49,5.769230769230769,94.23076923076923,2.23,59942,40934
55,72,43.30708661417323,56.69291338582677,2.03,27733,39104
9,23,28.125,71.875,9.96,26383,57910
62,61,50.40650406504065,49.59349593495935,5.81,45194,32408
59,53,52.67857142857143,47.32142857142857,3.21,59056,42507
12,2,85.71428571428571,14.285714285714285,5.52,21459,50299
35,44,44.303797468354425,55.69620253164557,3.57,25310,38858
51,45,53.125,46.875,4.98,50401,51060
9,31,22.5,77.5,7.28,56602,41802
65,50,56.52173913043478,43.47826086956522,3.96,22183,27987
63,55,53.38983050847458,46.61016949152542,8.87,22535,44388
57,41,58.16326530612245,41.83673469387755,3.76,25980,56015
29,33,46.774193548387096,53.2258064516129,6.01,21624,25460
36,5,87.8048780487805,12.195121951219512,4.99,37229,30889
1,73,1.3513513513513513,98.64864864864865,6.4,58442,27360
42,21,66.66666666666666,33.33333333333333,2.75,21243,56821
4,37,9.75609756097561,90.2439024390244,4.41,43604,55647
17,11,60.71428571428571,39.285714285714285,7.12,34550,50623
46,58,44.230769230769226,55.769230769230774,9.31,42106,31426
44,48,47.82608695652174,52.17391304347826,4.77,48352,50606
27,60,31.03448275862069,68.96551724137932,2.2,34055,45491
31,54,36.470588235294116,63.52941176470588,4.23,28431,22553
15,18,45.45454545454545,54.54545454545454,3.51,39498,59624
44,48,47.82608695652174,52.17391304347826,8.67,30153,25817
2,60,3.225806451612903,96.7741935483871,4.59,53599,31836
67,47,58.77192982456141,41.228070175438596,8.65,48623,21655
32,45,41.55844155844156,58.44155844155844,2.69,44236,58569
35,44,44.303797468354425,55.69620253164557,8.84,35972,49185
31,8,79.48717948717949,20.51282051282051,5.83,43781,23409
6,18,25.0,75.0,6.39,21490,53478
43,40,51.80722891566265,48.19277108433735,6.34,39089,32654
17,31,35.41666666666667,64.58333333333334,9.97,22620,57399
22,39,36.0655737704918,63.934426229508205,9.16,35146,26901
51,69,42.5,57.49999999999999,3.51,33225,52951
46,39,54.11764705882353,45.88235294117647,7.19,33415,47818
62,35,63.91752577319587,36.08247422680412,6.39,34492,31909
66,47,58.4070796460177,41.5929203539823,7.96,36459,28307
42,43,49.411764705882355,50.588235294117645,7.77,24832,42197
58,2,96.66666666666667,3.3333333333333335,9.29,52890,45931
53,40,56.98924731182796,43.01075268817204,2.85,35410,44729
71,49,59.166666666666664,40.833333333333336,7.38,52947,27655
66,63,51.162790697674424,48.837209302325576,4.57,32383,41343
75,45,62.5,37.5,9.11,54977,57674
2,14,12.5,87.5,9.36,41761,36048
20,49,28.985507246376812,71.01449275362319,6.48,53086,20596
